Date,FCHIX_Open,FCHIX_High,FCHIX_Low,FCHIX_Close,FCHIX_Adj Close,FCHIX_Volume
16-05-1995,2.76,2.76,2.76,2.76,0.463456,0
17-05-1995,2.76,2.76,2.76,2.76,0.463456,0
18-05-1995,2.76,2.76,2.76,2.76,0.463456,0
19-05-1995,2.75,2.75,2.75,2.75,0.461776,0
22-05-1995,2.75,2.75,2.75,2.75,0.461776,0
23-05-1995,2.75,2.75,2.75,2.75,0.461776,0
24-05-1995,2.76,2.76,2.76,2.76,0.463456,0
25-05-1995,2.76,2.76,2.76,2.76,0.463456,0
26-05-1995,2.76,2.76,2.76,2.76,0.463456,0
30-05-1995,2.76,2.76,2.76,2.76,0.463456,0
31-05-1995,2.77,2.77,2.77,2.77,0.465135,0
01-06-1995,2.74,2.74,2.74,2.74,0.463612,0
02-06-1995,2.75,2.75,2.75,2.75,0.465304,0
05-06-1995,2.75,2.75,2.75,2.75,0.465304,0
06-06-1995,2.75,2.75,2.75,2.75,0.465304,0
07-06-1995,2.75,2.75,2.75,2.75,0.465304,0
08-06-1995,2.75,2.75,2.75,2.75,0.465304,0
09-06-1995,2.74,2.74,2.74,2.74,0.463612,0
12-06-1995,2.74,2.74,2.74,2.74,0.463612,0
13-06-1995,2.74,2.74,2.74,2.74,0.463612,0
14-06-1995,2.74,2.74,2.74,2.74,0.463612,0
15-06-1995,2.75,2.75,2.75,2.75,0.465304,0
16-06-1995,2.74,2.74,2.74,2.74,0.463612,0
19-06-1995,2.75,2.75,2.75,2.75,0.465304,0
20-06-1995,2.74,2.74,2.74,2.74,0.463612,0
21-06-1995,2.75,2.75,2.75,2.75,0.465304,0
22-06-1995,2.75,2.75,2.75,2.75,0.465304,0
23-06-1995,2.76,2.76,2.76,2.76,0.466996,0
26-06-1995,2.76,2.76,2.76,2.76,0.466996,0
27-06-1995,2.77,2.77,2.77,2.77,0.468688,0
28-06-1995,2.77,2.77,2.77,2.77,0.468688,0
29-06-1995,2.77,2.77,2.77,2.77,0.468688,0
30-06-1995,2.77,2.77,2.77,2.77,0.468688,0
03-07-1995,2.75,2.75,2.75,2.75,0.468688,0
05-07-1995,2.75,2.75,2.75,2.75,0.468688,0
06-07-1995,2.76,2.76,2.76,2.76,0.470393,0
07-07-1995,2.77,2.77,2.77,2.77,0.472096,0
10-07-1995,2.76,2.76,2.76,2.76,0.470393,0
11-07-1995,2.79,2.79,2.79,2.79,0.475505,0
12-07-1995,2.79,2.79,2.79,2.79,0.475505,0
13-07-1995,2.79,2.79,2.79,2.79,0.475505,0
14-07-1995,2.8,2.8,2.8,2.8,0.47721,0
17-07-1995,2.8,2.8,2.8,2.8,0.47721,0
18-07-1995,2.79,2.79,2.79,2.79,0.475505,0
19-07-1995,2.79,2.79,2.79,2.79,0.475505,0
20-07-1995,2.78,2.78,2.78,2.78,0.473801,0
21-07-1995,2.78,2.78,2.78,2.78,0.473801,0
24-07-1995,2.78,2.78,2.78,2.78,0.473801,0
25-07-1995,2.79,2.79,2.79,2.79,0.475505,0
26-07-1995,2.79,2.79,2.79,2.79,0.475505,0
27-07-1995,2.79,2.79,2.79,2.79,0.475505,0
28-07-1995,2.8,2.8,2.8,2.8,0.47721,0
31-07-1995,2.8,2.8,2.8,2.8,0.47721,0
01-08-1995,2.78,2.78,2.78,2.78,0.47721,0
02-08-1995,2.77,2.77,2.77,2.77,0.475493,0
03-08-1995,2.78,2.78,2.78,2.78,0.47721,0
04-08-1995,2.78,2.78,2.78,2.78,0.47721,0
07-08-1995,2.79,2.79,2.79,2.79,0.478926,0
08-08-1995,2.79,2.79,2.79,2.79,0.478926,0
09-08-1995,2.79,2.79,2.79,2.79,0.478926,0
10-08-1995,2.79,2.79,2.79,2.79,0.478926,0
11-08-1995,2.79,2.79,2.79,2.79,0.478926,0
14-08-1995,2.79,2.79,2.79,2.79,0.478926,0
15-08-1995,2.79,2.79,2.79,2.79,0.478926,0
16-08-1995,2.78,2.78,2.78,2.78,0.47721,0
17-08-1995,2.78,2.78,2.78,2.78,0.47721,0
18-08-1995,2.78,2.78,2.78,2.78,0.47721,0
21-08-1995,2.78,2.78,2.78,2.78,0.47721,0
22-08-1995,2.78,2.78,2.78,2.78,0.47721,0
23-08-1995,2.78,2.78,2.78,2.78,0.47721,0
24-08-1995,2.77,2.77,2.77,2.77,0.475493,0
25-08-1995,2.78,2.78,2.78,2.78,0.47721,0
28-08-1995,2.78,2.78,2.78,2.78,0.47721,0
29-08-1995,2.78,2.78,2.78,2.78,0.47721,0
30-08-1995,2.78,2.78,2.78,2.78,0.47721,0
31-08-1995,2.79,2.79,2.79,2.79,0.478926,0
01-09-1995,2.77,2.77,2.77,2.77,0.478926,0
05-09-1995,2.77,2.77,2.77,2.77,0.478926,0
06-09-1995,2.78,2.78,2.78,2.78,0.480655,0
07-09-1995,2.78,2.78,2.78,2.78,0.480655,0
08-09-1995,2.78,2.78,2.78,2.78,0.480655,0
11-09-1995,2.78,2.78,2.78,2.78,0.480655,0
12-09-1995,2.78,2.78,2.78,2.78,0.480655,0
13-09-1995,2.78,2.78,2.78,2.78,0.480655,0
14-09-1995,2.79,2.79,2.79,2.79,0.482384,0
15-09-1995,2.79,2.79,2.79,2.79,0.482384,0
18-09-1995,2.79,2.79,2.79,2.79,0.482384,0
19-09-1995,2.79,2.79,2.79,2.79,0.482384,0
20-09-1995,2.79,2.79,2.79,2.79,0.482384,0
21-09-1995,2.79,2.79,2.79,2.79,0.482384,0
22-09-1995,2.79,2.79,2.79,2.79,0.482384,0
25-09-1995,2.79,2.79,2.79,2.79,0.482384,0
26-09-1995,2.79,2.79,2.79,2.79,0.482384,0
27-09-1995,2.79,2.79,2.79,2.79,0.482384,0
28-09-1995,2.79,2.79,2.79,2.79,0.482384,0
29-09-1995,2.79,2.79,2.79,2.79,0.482384,0
02-10-1995,2.77,2.77,2.77,2.77,0.482558,0
03-10-1995,2.77,2.77,2.77,2.77,0.482558,0
04-10-1995,2.77,2.77,2.77,2.77,0.482558,0
05-10-1995,2.78,2.78,2.78,2.78,0.4843,0
06-10-1995,2.78,2.78,2.78,2.78,0.4843,0
09-10-1995,2.78,2.78,2.78,2.78,0.4843,0
10-10-1995,2.78,2.78,2.78,2.78,0.4843,0
11-10-1995,2.78,2.78,2.78,2.78,0.4843,0
12-10-1995,2.78,2.78,2.78,2.78,0.4843,0
13-10-1995,2.79,2.79,2.79,2.79,0.486042,0
16-10-1995,2.79,2.79,2.79,2.79,0.486042,0
17-10-1995,2.79,2.79,2.79,2.79,0.486042,0
18-10-1995,2.79,2.79,2.79,2.79,0.486042,0
19-10-1995,2.79,2.79,2.79,2.79,0.486042,0
20-10-1995,2.79,2.79,2.79,2.79,0.486042,0
23-10-1995,2.79,2.79,2.79,2.79,0.486042,0
24-10-1995,2.79,2.79,2.79,2.79,0.486042,0
25-10-1995,2.79,2.79,2.79,2.79,0.486042,0
26-10-1995,2.79,2.79,2.79,2.79,0.486042,0
27-10-1995,2.79,2.79,2.79,2.79,0.486042,0
30-10-1995,2.79,2.79,2.79,2.79,0.486042,0
31-10-1995,2.79,2.79,2.79,2.79,0.486042,0
01-11-1995,2.77,2.77,2.77,2.77,0.486218,0
02-11-1995,2.77,2.77,2.77,2.77,0.486218,0
03-11-1995,2.77,2.77,2.77,2.77,0.486218,0
06-11-1995,2.77,2.77,2.77,2.77,0.486218,0
07-11-1995,2.77,2.77,2.77,2.77,0.486218,0
08-11-1995,2.78,2.78,2.78,2.78,0.487973,0
09-11-1995,2.78,2.78,2.78,2.78,0.487973,0
10-11-1995,2.77,2.77,2.77,2.77,0.486218,0
13-11-1995,2.78,2.78,2.78,2.78,0.487973,0
14-11-1995,2.78,2.78,2.78,2.78,0.487973,0
15-11-1995,2.77,2.77,2.77,2.77,0.486218,0
16-11-1995,2.78,2.78,2.78,2.78,0.487973,0
17-11-1995,2.78,2.78,2.78,2.78,0.487973,0
20-11-1995,2.78,2.78,2.78,2.78,0.487973,0
21-11-1995,2.77,2.77,2.77,2.77,0.486218,0
22-11-1995,2.77,2.77,2.77,2.77,0.486218,0
24-11-1995,2.77,2.77,2.77,2.77,0.486218,0
27-11-1995,2.78,2.78,2.78,2.78,0.487973,0
28-11-1995,2.77,2.77,2.77,2.77,0.486218,0
29-11-1995,2.78,2.78,2.78,2.78,0.487973,0
30-11-1995,2.78,2.78,2.78,2.78,0.487973,0
01-12-1995,2.77,2.77,2.77,2.77,0.489919,0
04-12-1995,2.77,2.77,2.77,2.77,0.489919,0
05-12-1995,2.77,2.77,2.77,2.77,0.489919,0
06-12-1995,2.78,2.78,2.78,2.78,0.491687,0
07-12-1995,2.78,2.78,2.78,2.78,0.491687,0
08-12-1995,2.78,2.78,2.78,2.78,0.491687,0
11-12-1995,2.79,2.79,2.79,2.79,0.493456,0
12-12-1995,2.79,2.79,2.79,2.79,0.493456,0
13-12-1995,2.79,2.79,2.79,2.79,0.493456,0
14-12-1995,2.78,2.78,2.78,2.78,0.491687,0
15-12-1995,2.78,2.78,2.78,2.78,0.491687,0
18-12-1995,2.78,2.78,2.78,2.78,0.491687,0
