Date,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Close,FTSE_Adj Close,FTSE_Volume
"Feb 01, 2019","6,968.90","7,024.50","6,968.90","7,020.20","7,020.20","63,07,12,300"
"Jan 31, 2019","6,941.60","6,994.90","6,941.10","6,968.90","6,968.90","86,63,16,300"
"Jan 30, 2019","6,833.90","6,967.70","6,833.90","6,941.60","6,941.60","74,87,72,100"
"Jan 29, 2019","6,747.10","6,860.30","6,747.10","6,833.90","6,833.90","69,70,35,900"
"Jan 28, 2019","6,809.20","6,812.50","6,734.00","6,747.10","6,747.10","64,82,13,700"
"Jan 25, 2019","6,819.00","6,858.20","6,806.80","6,809.20","6,809.20","72,74,97,200"
"Jan 24, 2019","6,842.90","6,854.60","6,802.00","6,819.00","6,819.00","59,99,78,600"
"Jan 23, 2019","6,901.40","6,901.60","6,834.30","6,842.90","6,842.90","64,60,39,700"
"Jan 22, 2019","6,970.60","6,970.60","6,880.70","6,901.40","6,901.40","56,59,67,800"
"Jan 21, 2019","6,968.30","6,987.90","6,954.50","6,970.60","6,970.60","47,48,27,100"
"Jan 18, 2019","6,834.90","6,984.40","6,834.90","6,968.30","6,968.30","79,57,42,900"
"Jan 17, 2019","6,862.70","6,862.70","6,799.00","6,834.90","6,834.90","58,26,54,200"
"Jan 16, 2019","6,895.00","6,912.40","6,848.60","6,862.70","6,862.70","78,76,26,400"
"Jan 15, 2019","6,855.00","6,910.50","6,849.60","6,895.00","6,895.00","68,73,41,200"
"Jan 14, 2019","6,918.20","6,918.20","6,841.70","6,855.00","6,855.00","68,34,49,700"
"Jan 11, 2019","6,942.90","7,001.90","6,902.70","6,918.20","6,918.20","68,04,78,600"
"Jan 10, 2019","6,906.60","6,948.20","6,860.80","6,942.90","6,942.90","61,14,34,300"
"Jan 09, 2019","6,861.60","6,938.30","6,861.60","6,906.60","6,906.60","86,06,84,900"
"Jan 08, 2019","6,810.90","6,901.50","6,804.90","6,861.60","6,861.60","65,19,77,000"
"Jan 07, 2019","6,837.40","6,874.10","6,778.00","6,810.90","6,810.90","73,65,59,900"
"Jan 04, 2019","6,692.70","6,850.40","6,692.50","6,837.40","6,837.40","63,91,36,700"
"Jan 03, 2019","6,734.20","6,753.10","6,685.10","6,692.70","6,692.70","67,40,99,100"
"Jan 02, 2019","6,728.10","6,753.30","6,599.50","6,734.20","6,734.20","61,42,52,000"
"Dec 31, 2018","6,734.00","6,752.50","6,718.30","6,728.10","6,728.10","22,53,03,900"
"Dec 28, 2018","6,584.70","6,742.50","6,584.70","6,734.00","6,734.00","49,98,12,000"
"Dec 27, 2018","6,686.00","6,728.50","6,536.50","6,584.70","6,584.70","59,01,27,000"
"Dec 24, 2018","6,721.20","6,721.20","6,661.00","6,686.00","6,686.00","19,28,08,000"
"Dec 21, 2018","6,711.90","6,733.00","6,653.70","6,721.20","6,721.20","1,59,66,69,300"
"Dec 20, 2018","6,765.90","6,765.90","6,646.50","6,711.90","6,711.90","90,32,73,100"
"Dec 19, 2018","6,701.60","6,785.20","6,698.20","6,765.90","6,765.90","75,40,65,600"
"Dec 18, 2018","6,773.20","6,773.20","6,701.60","6,701.60","6,701.60","85,50,40,800"
