Date,KLSE_Open,KLSE_High,KLSE_Low,KLSE_Close,KLSE_AdjClose,KLSE_Volume
"Jan 31, 2019","1,694.86","1,695.40","1,683.53","1,683.53","1,683.53","18,32,61,900"
"Jan 30, 2019","1,689.69","1,691.23","1,681.57","1,684.11","1,684.11","11,11,79,200"
"Jan 29, 2019","1,694.71","1,694.71","1,688.48","1,690.41","1,690.41","14,57,06,700"
"Jan 28, 2019","1,705.41","1,705.50","1,693.63","1,697.50","1,697.50","11,41,51,100"
"Jan 25, 2019","1,699.59","1,701.03","1,695.38","1,701.03","1,701.03","13,00,46,000"
"Jan 24, 2019","1,689.30","1,694.59","1,686.87","1,693.59","1,693.59","15,33,12,500"
"Jan 23, 2019","1,690.76","1,691.23","1,680.84","1,688.14","1,688.14","12,78,94,400"
"Jan 22, 2019","1,698.88","1,702.12","1,688.19","1,702.12","1,702.12","12,88,11,400"
"Jan 18, 2019","1,682.08","1,692.22","1,681.89","1,692.22","1,692.22","13,37,06,000"
"Jan 17, 2019","1,680.21","1,684.24","1,674.36","1,682.97","1,682.97","14,01,50,900"
"Jan 16, 2019","1,675.78","1,676.34","1,668.43","1,673.08","1,673.08","11,16,08,800"
"Jan 15, 2019","1,674.83","1,679.42","1,672.55","1,679.42","1,679.42","13,60,98,300"
"Jan 14, 2019","1,683.05","1,684.19","1,672.27","1,676.16","1,676.16","8,77,94,700"
"Jan 11, 2019","1,684.99","1,684.99","1,676.75","1,683.22","1,683.22","13,93,77,800"
"Jan 10, 2019","1,677.38","1,681.23","1,669.28","1,678.88","1,678.88","15,62,00,700"
"Jan 09, 2019","1,679.06","1,684.08","1,667.83","1,667.83","1,667.83","17,62,78,400"
"Jan 08, 2019","1,685.72","1,686.37","1,670.67","1,672.76","1,672.76","17,60,71,900"
"Jan 07, 2019","1,674.92","1,687.13","1,673.03","1,679.17","1,679.17","14,46,68,500"
"Jan 04, 2019","1,672.58","1,676.55","1,668.15","1,669.78","1,669.78","6,48,69,000"
"Jan 03, 2019","1,675.16","1,680.78","1,666.22","1,675.83","1,675.83","6,94,84,500"
"Jan 02, 2019","1,693.51","1,694.10","1,666.07","1,668.11","1,668.11","4,77,69,800"
"Dec 31, 2018","1,693.76","1,701.10","1,689.04","1,690.58","1,690.58","8,31,99,200"
"Dec 28, 2018","1,687.91","1,694.08","1,684.47","1,692.07","1,692.07","6,75,19,000"
"Dec 27, 2018","1,679.71","1,691.65","1,677.33","1,690.72","1,690.72","5,91,58,000"
"Dec 26, 2018","1,668.69","1,674.85","1,660.80","1,672.60","1,672.60","6,01,87,400"
"Dec 24, 2018","1,669.99","1,683.82","1,658.10","1,683.82","1,683.82","4,97,17,200"
"Dec 21, 2018","1,645.32","1,672.21","1,642.79","1,670.28","1,670.28","15,80,83,300"
"Dec 20, 2018","1,634.41","1,651.63","1,630.95","1,650.56","1,650.56","13,65,51,300"
"Dec 19, 2018","1,635.94","1,655.66","1,634.55","1,655.66","1,655.66","19,77,35,000"
"Dec 18, 2018","1,628.47","1,643.88","1,626.93","1,635.31","1,635.31","12,77,69,100"
"Dec 17, 2018","1,649.28","1,660.66","1,641.62","1,641.62","1,641.62","6,83,65,600"
"Dec 14, 2018","1,670.05","1,671.73","1,661.30","1,661.96","1,661.96","9,90,35,200"
"Dec 13, 2018","1,671.11","1,677.91","1,670.12","1,676.00","1,676.00","12,15,13,500"
"Dec 12, 2018","1,657.09","1,667.70","1,656.47","1,663.27","1,663.27","13,34,75,300"
"Dec 11, 2018","1,656.55","1,665.69","1,652.63","1,652.63","1,652.63","10,99,46,500"
"Dec 10, 2018","1,674.67","1,674.67","1,662.81","1,663.31","1,663.31","8,69,26,600"
"Dec 07, 2018","1,681.37","1,684.36","1,676.60","1,680.54","1,680.54","8,78,26,900"
"Dec 06, 2018","1,683.35","1,686.49","1,670.88","1,683.34","1,683.34","12,67,84,300"
"Dec 05, 2018","1,683.58","1,688.60","1,683.03","1,688.27","1,688.27","10,08,11,100"
"Dec 04, 2018","1,696.81","1,698.51","1,688.88","1,694.99","1,694.99","16,51,17,800"
"Dec 03, 2018","1,685.74","1,700.67","1,685.74","1,699.72","1,699.72","18,94,16,100"
"Nov 30, 2018","1,701.56","1,702.98","1,677.45","1,679.86","1,679.86","28,83,67,600"
"Nov 29, 2018","1,694.85","1,702.63","1,694.85","1,696.34","1,696.34","23,94,91,000"
"Nov 28, 2018","1,685.80","1,688.71","1,678.48","1,686.55","1,686.55","21,96,08,000"
"Nov 27, 2018","1,698.72","1,699.09","1,683.15","1,684.97","1,684.97","38,70,26,600"
"Nov 26, 2018","1,693.04","1,701.99","1,688.45","1,701.99","1,701.99","8,77,02,600"
"Nov 23, 2018","1,696.47","1,696.54","1,689.14","1,695.88","1,695.88","4,94,02,300"
"Nov 22, 2018","1,694.59","1,701.74","1,689.03","1,695.62","1,695.62","7,75,20,800"
"Nov 21, 2018","1,694.57","1,698.68","1,689.68","1,695.37","1,695.37","11,35,47,300"
"Nov 19, 2018","1,712.81","1,712.97","1,698.51","1,710.71","1,710.71","10,09,32,200"
"Nov 16, 2018","1,705.81","1,708.96","1,701.92","1,706.38","1,706.38","10,24,29,800"
"Nov 15, 2018","1,686.43","1,698.14","1,685.20","1,694.21","1,694.21","11,30,41,000"
