Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,122.5,123.0,118.0,119.35,118.75,355967.0
2002-07-02,117.8,122.4,116.25,117.0,117.05,260421.0
2002-07-03,117.0,118.5,116.4,117.15,117.2,138850.0
2002-07-04,115.0,119.4,113.5,117.9,119.0,298793.0
2002-07-05,118.9,122.05,116.55,117.2,116.75,212675.0
2002-07-08,117.0,120.45,115.0,115.4,115.75,113774.0
2002-07-09,117.0,118.5,113.6,114.25,113.65,155391.0
2002-07-10,115.0,115.75,111.3,113.35,113.25,146585.0
2002-07-11,114.75,115.0,111.55,112.25,113.0,117911.0
2002-07-12,113.5,114.5,109.5,110.2,109.75,155325.0
2002-07-15,110.0,110.0,104.7,105.15,105.45,129967.0
2002-07-16,105.8,109.9,102.1,102.9,102.6,160468.0
2002-07-17,104.0,104.4,100.3,101.6,101.75,198336.0
2002-07-18,103.5,106.95,103.0,105.9,106.35,171697.0
2002-07-19,100.2,106.6,100.2,102.25,102.0,119546.0
2002-07-22,101.0,101.5,98.8,99.95,99.4,109663.0
2002-07-23,97.5,103.0,97.5,100.8,102.85,93787.0
2002-07-24,102.0,103.9,100.3,101.1,101.9,93514.0
2002-07-25,103.9,105.25,101.0,102.25,102.0,108406.0
2002-07-26,101.9,101.9,95.0,95.65,95.75,155889.0
2002-07-29,95.5,97.95,92.0,94.1,94.0,271790.0
2002-07-30,96.45,96.7,88.15,91.8,90.0,136268.0
2002-07-31,91.0,91.0,86.0,89.5,90.25,110644.0
2002-08-01,90.95,96.5,90.95,95.25,96.0,147138.0
2002-08-02,92.0,95.0,91.8,94.15,94.4,62411.0
2002-08-05,96.0,98.9,95.55,98.2,98.2,68625.0
2002-08-06,98.0,102.45,96.25,98.15,97.7,139145.0
2002-08-07,99.8,104.4,98.5,101.9,102.0,222781.0
2002-08-08,102.5,103.0,98.1,98.6,99.4,85546.0
2002-08-09,99.4,100.9,94.5,96.1,96.0,125654.0
2002-08-12,98.9,101.0,97.0,98.9,101.0,63094.0
2002-08-13,100.05,102.0,100.05,100.85,101.25,33710.0
2002-08-14,100.0,101.7,99.1,100.45,100.0,157664.0
2002-08-16,101.9,102.45,99.95,100.25,99.95,39817.0
2002-08-19,100.9,101.0,99.5,100.0,100.0,240158.0
2002-08-20,100.8,101.0,100.0,100.35,100.55,36814.0
2002-08-21,100.5,103.5,100.0,100.25,100.6,52509.0
2002-08-22,100.0,101.4,98.0,98.25,99.0,55496.0
2002-08-23,100.0,100.0,97.5,98.45,98.9,28085.0
2002-08-26,98.9,100.0,98.0,98.55,98.05,28213.0
2002-08-27,99.4,99.75,97.75,98.05,98.0,23754.0
2002-08-28,98.1,98.9,97.7,98.15,98.4,31827.0
2002-08-29,97.5,102.9,97.5,100.4,100.25,119884.0
2002-08-30,105.0,105.0,99.8,100.05,99.95,88647.0
2002-09-02,101.0,102.4,99.5,100.2,99.75,46448.0
2002-09-03,100.5,100.5,98.5,100.05,99.8,25143.0
2002-09-04,99.95,100.95,98.3,100.4,100.75,15098.0
2002-09-05,100.05,102.0,100.0,100.1,100.0,32041.0
2002-09-06,100.85,100.95,99.45,99.95,100.0,30472.0
2002-09-09,98.0,100.45,97.0,99.75,99.85,13257.0
2002-09-11,100.0,100.3,99.7,99.95,99.95,13499.0
2002-09-12,100.0,100.65,97.75,97.9,98.0,54912.0
2002-09-13,99.0,99.5,97.0,97.25,97.1,34050.0
2002-09-16,97.15,98.9,95.05,95.3,95.05,34402.0
2002-09-17,97.0,97.0,93.1,93.75,93.95,50195.0
2002-09-18,96.9,96.9,92.1,92.4,92.4,49210.0
2002-09-19,92.9,92.9,89.8,90.4,90.5,83628.0
2002-09-20,91.5,92.5,88.25,92.05,92.5,36186.0
2002-09-23,93.0,94.0,90.0,90.35,90.2,11058.0
2002-09-24,90.7,90.7,85.5,86.75,86.0,19660.0
2002-09-25,85.0,86.9,85.0,86.8,86.9,12090.0
2002-09-26,88.9,88.9,87.15,87.65,87.95,6927.0
2002-09-27,88.0,89.35,87.0,88.95,88.75,8082.0
2002-09-30,88.5,89.65,85.5,86.85,87.6,39679.0
2002-10-01,87.75,87.75,86.3,87.1,86.55,12044.0
2002-10-03,87.05,87.5,86.4,86.5,86.6,15888.0
2002-10-04,85.0,89.0,85.0,88.6,88.0,16548.0
2002-10-07,88.0,90.95,88.0,90.65,90.2,32307.0
2002-10-08,90.0,91.0,90.0,90.05,90.0,12481.0
2002-10-09,90.0,91.0,89.8,89.9,89.9,37001.0
2002-10-10,90.0,90.0,87.7,88.95,88.8,30714.0
2002-10-11,90.0,90.95,86.5,87.45,87.65,47096.0
2002-10-14,87.5,90.75,87.0,88.7,88.7,27111.0
