Date,BSE_Open,BSE_High,BSE_Low,BSE_Close,BSE_Volume,BSE_Dividends,BSE_Stock Splits
2002-10-29,5.97,5.99,5.97,5.97,66300,0.0,0
2002-10-30,5.97,5.97,5.97,5.97,21300,0.0,0
2002-10-31,5.97,5.97,5.97,5.97,13500,0.0,0
2002-11-01,5.97,5.97,5.97,5.97,8200,0.0,0
2002-11-04,5.97,6.03,5.97,5.97,36800,0.0,0
2002-11-05,5.97,5.97,5.97,5.97,10700,0.0,0
2002-11-06,5.97,5.98,5.97,5.97,10500,0.0,0
2002-11-07,5.98,5.98,5.97,5.97,13500,0.0,0
2002-11-08,5.97,5.97,5.97,5.97,2300,0.0,0
2002-11-11,5.98,5.98,5.97,5.97,400,0.0,0
2002-11-12,5.98,5.98,5.97,5.97,5100,0.0,0
2002-11-13,5.97,5.97,5.97,5.97,7700,0.0,0
2002-11-14,5.97,5.97,5.97,5.97,5200,0.0,0
2002-11-15,5.97,5.97,5.97,5.97,7800,0.0,0
2002-11-18,5.98,5.98,5.98,5.98,7000,0.0,0
2002-11-19,5.97,5.97,5.97,5.97,2300,0.0,0
2002-11-20,5.97,5.97,5.97,5.97,1000,0.0,0
2002-11-21,5.97,5.97,5.97,5.97,2200,0.0,0
2002-11-22,5.97,5.97,5.97,5.97,3100,0.0,0
2002-11-25,5.97,5.97,5.97,5.97,5700,0.0,0
2002-11-26,5.97,5.97,5.97,5.97,8800,0.0,0
2002-11-27,5.97,5.97,5.97,5.97,12800,0.0,0
2002-11-29,5.97,5.97,5.97,5.97,1200,0.0,0
2002-12-02,5.97,5.97,5.97,5.97,211800,0.0,0
2002-12-03,5.97,5.97,5.97,5.97,10800,0.0,0
2002-12-04,5.97,5.97,5.97,5.97,9600,0.0,0
2002-12-05,5.97,5.97,5.97,5.97,0,0.0,0
2002-12-06,5.97,5.97,5.97,5.97,8700,0.0,0
2002-12-09,5.97,5.97,5.97,5.97,7500,0.0,0
2002-12-10,5.97,5.97,5.97,5.97,12100,0.0,0
2002-12-11,5.97,5.97,5.97,5.97,0,0.0,0
2002-12-12,5.97,5.97,5.97,5.97,9200,0.0,0
2002-12-13,5.93,5.93,5.83,5.85,69300,0.0,0
2002-12-16,5.85,5.85,5.83,5.85,5700,0.0,0
2002-12-17,5.85,5.85,5.83,5.83,1000,0.0,0
2002-12-18,5.85,5.85,5.79,5.79,20300,0.0,0
2002-12-19,5.82,5.82,5.82,5.82,17100,0.075,0
2002-12-20,5.82,5.82,5.66,5.68,70600,0.0,0
2002-12-23,5.7,5.7,5.54,5.57,51200,0.0,0
2002-12-24,5.58,5.62,5.58,5.59,2900,0.0,0
2002-12-26,5.6,5.64,5.59,5.64,4400,0.0,0
2002-12-27,5.64,5.69,5.62,5.69,5400,0.0,0
2002-12-30,5.72,5.72,5.64,5.64,22400,0.0,0
2002-12-31,5.64,5.68,5.6,5.68,17500,0.0,0
2003-01-02,5.68,5.68,5.54,5.6,52400,0.0,0
2003-01-03,5.58,5.6,5.54,5.6,15100,0.0,0
2003-01-06,5.62,5.65,5.6,5.65,5800,0.0,0
2003-01-07,5.6,5.67,5.6,5.64,8900,0.0,0
2003-01-08,5.66,5.67,5.65,5.67,14600,0.0,0
2003-01-09,5.68,5.69,5.68,5.69,8900,0.0,0
2003-01-10,5.68,5.69,5.66,5.69,9300,0.0,0
2003-01-13,5.71,5.72,5.69,5.69,3500,0.076,0
2003-01-14,5.67,5.75,5.63,5.71,15000,0.0,0
2003-01-15,5.73,5.76,5.67,5.67,6900,0.0,0
2003-01-16,5.63,5.77,5.61,5.73,9500,0.0,0
2003-01-17,5.75,5.78,5.75,5.78,900,0.0,0
2003-01-21,5.75,5.75,5.69,5.75,13200,0.0,0
2003-01-22,5.73,5.73,5.65,5.7,14500,0.0,0
2003-01-23,5.71,5.71,5.63,5.65,8300,0.0,0
2003-01-24,5.63,5.67,5.61,5.63,11000,0.0,0
2003-01-27,5.57,5.63,5.57,5.63,19300,0.0,0
2003-01-28,5.63,5.65,5.55,5.55,8500,0.0,0
2003-01-29,5.53,5.59,5.53,5.59,7100,0.0,0
2003-01-30,5.62,5.62,5.59,5.6,7400,0.0,0
2003-01-31,5.61,5.62,5.53,5.58,13100,0.0,0
2003-02-03,5.58,5.6,5.56,5.59,9600,0.0,0
2003-02-04,5.57,5.75,5.51,5.75,25000,0.0,0
2003-02-05,5.75,5.75,5.75,5.75,2600,0.0,0
2003-02-06,5.75,5.75,5.69,5.69,2900,0.0,0
2003-02-07,5.67,5.78,5.67,5.78,7600,0.0,0
2003-02-10,5.81,5.87,5.81,5.87,5300,0.0,0
