,Open,High,Low,Adj Close,Close,Volume,Turnover (Lacs),DPO,Low,Al_Close,Plat_Last,Settle,BSE_Close,DJI_Close,FCHIX_Close,FTSE_Close,GDAXI_Close,GSPC_Close,HSI_Close,KS11_Close,PSEIPS_Close,TWII_Close,NSEI_Close
2014-03-24,1877.65,1903.0,1873.25,1882.0,1886.3,329812.0,6223.9,-1140.7949999999978,1873.25,103.15,1430.7,2940.0,9.61,16276.69,1.5732,6520.4,9188.77,1857.44,21846.45,1945.55,6400.67,8605.35,6583.5
2014-03-25,1881.0,1912.0,1875.85,1911.0,1901.7,395158.0,7485.46,-1151.6599999999976,1875.85,102.95,1420.4,2949.0,9.63,16367.88,1.5732,6604.9,9338.4,1865.62,21732.32,1941.25,6336.34,8689.27,6589.75
2014-03-26,1911.0,1949.0,1911.0,1940.0,1937.1,634815.0,12303.31,-1166.0149999999976,1911.0,103.35,1406.0,2963.0,9.7,16268.99,1.5732,6605.3,9448.58,1852.56,21887.75,1964.31,6348.5,8737.24,6601.4
2014-03-27,1941.0,1968.4,1920.15,1931.5,1935.55,825829.0,16019.74,-1179.5899999999976,1920.15,101.9,1396.7,2955.0,9.73,16264.23,1.5732,6588.3,9451.21,1849.04,21834.45,1977.97,6315.69,8779.54,6641.75
2014-03-28,1935.9,1956.55,1920.1,1927.0,1931.4,326409.0,6319.05,-1200.9099999999976,1920.1,102.05,1404.7,2983.0,9.73,16323.06,1.5732,6615.6,9587.19,1857.62,22065.53,1981.0,6359.62,8774.61,6695.9
2014-03-31,1937.95,1980.0,1925.0,1967.05,1971.75,437613.0,8579.31,-1220.3874999999978,1925.0,104.55,1418.5,2955.0,9.72,16457.66,1.5732,6598.4,9555.91,1872.34,22151.06,1985.61,6428.71,8849.25,6704.2
2014-04-01,1976.0,1980.0,1922.1,1927.0,1930.85,288560.0,5612.29,-1258.9099999999976,1922.1,106.25,1428.0,2943.0,9.71,16532.61,1.5732,6652.6,9603.71,1885.52,22448.54,1991.98,6514.72,8873.12,6721.05
2014-04-02,1935.0,1948.7,1922.85,1935.85,1933.2,268932.0,5207.44,-1274.2999999999975,1922.85,106.35,1437.1,2917.0,9.63,16573.0,1.5732,6659.0,9623.36,1890.9,22523.94,1997.25,6587.72,8905.42,6752.55
2014-04-03,1940.0,1964.4,1927.0,1940.3,1939.7,307539.0,5973.49,-1302.9124999999974,1927.0,108.4,1443.8,2917.0,9.64,16572.55,1.5732,6649.1,9628.82,1888.77,22565.08,1993.7,6587.08,8888.51,6736.1
2014-04-07,1925.0,1936.0,1872.0,1906.0,1904.95,319401.0,6061.22,-1340.8124999999973,1872.0,108.0,1426.3,2959.0,9.7,16245.87,1.5805,6622.8,9510.85,1845.04,22377.15,1989.7,6614.4,8876.41,6695.05
2014-04-10,1933.0,1973.5,1916.1,1949.0,1959.95,486855.0,9517.78,-1347.8249999999966,1916.1,110.8,1458.4,2970.0,9.76,16170.22,1.5805,6642.0,9454.54,1833.08,23186.96,2008.61,6638.89,8948.07,6796.4
2014-04-11,1941.0,1948.7,1923.15,1936.25,1935.7,504763.0,9760.7,-1357.2424999999967,1923.15,112.8,1461.6,2987.0,9.79,16026.75,1.5805,6561.7,9315.29,1815.69,23003.64,1997.44,6596.96,8908.02,6776.3
2014-04-15,1924.3,1948.6,1904.0,1925.0,1927.2,228758.0,4395.11,-1401.2799999999966,1904.0,111.95,1444.1,2951.0,9.8,16262.56,1.5805,6541.6,9173.71,1842.98,22671.26,1992.27,6621.66,8916.68,6733.1
