,Open,High,Low,Close,Adj Close,Volume,DPO,Low,Low,Low,Low,Low,Low,Total Market Value,Low,Total Market Value,Total Market Value,AORD_Close,DJI_Close,FCHIX_Close,FTSE_Close,GDAXI_Close,GSPC_Close,HSI_Close,KS11_Close,PSEIPS_Close,TWII_Close,NSEI_Close
2012-04-16,1312.55,1352.85,1309.9,1342.3,1345.0,526324.0,-114.66750000000002,1309.9,1309.9,1309.9,1309.9,1309.9,1309.9,16482868.0,1309.9,243694665.0,39557262.0,4382.5,12921.41,1.2622,5666.3,6625.19,1369.57,20610.64,1992.63,5117.46,7729.83,5226.2
2012-04-17,1394.8,1394.8,1326.4,1342.2,1342.3,583176.0,-113.05999999999995,1326.4,1326.4,1326.4,1326.4,1326.4,1326.4,16575962.0,1326.4,241310371.0,39298571.0,4368.8,13115.54,1.2622,5767.0,6801.0,1390.78,20562.31,1985.3,5157.28,7585.84,5289.7
2012-04-18,1350.0,1366.7,1345.05,1352.5,1359.4,642609.0,-116.33000000000015,1345.05,1345.05,1345.05,1345.05,1345.05,1345.05,16518432.0,1345.05,236045057.0,39366056.0,4427.2,13032.75,1.2622,5745.3,6732.03,1385.14,20780.73,2004.53,5186.2,7604.97,5300.0
2012-04-19,1364.4,1401.4,1357.4,1391.25,1399.75,922582.0,-117.98250000000007,1357.4,1357.4,1357.4,1357.4,1357.4,1357.4,16505880.0,1357.4,243197937.0,39512273.0,4441.3,12964.1,1.2622,5744.6,6671.22,1376.92,20995.01,1999.86,5173.28,7622.66,5332.4
2012-04-20,1392.25,1417.05,1380.0,1390.7,1389.0,816656.0,-104.80750000000012,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,16570732.0,1380.0,239621497.0,40254604.0,4444.4,13029.26,1.2684,5772.2,6750.12,1378.53,21010.64,1974.65,5156.46,7507.12,5290.85
2012-04-23,1391.1,1408.0,1372.1,1377.55,1375.0,518905.0,-107.17000000000007,1372.1,1372.1,1372.1,1372.1,1372.1,1372.1,16278898.0,1372.1,243396628.0,40254604.0,4430.3,12927.17,1.2622,5665.6,6523.0,1366.94,20624.39,1972.63,5163.09,7481.06,5200.6
2012-04-24,1375.0,1376.6,1349.75,1363.75,1364.95,270412.0,-103.63000000000011,1349.75,1349.75,1349.75,1349.75,1349.75,1349.75,16193126.0,1349.75,241608408.0,41278121.0,4433.9,13001.56,1.2684,5709.5,6590.41,1371.97,20677.16,1963.42,5169.6,7498.81,5222.65
2012-04-26,1380.0,1399.0,1366.1,1381.95,1374.0,762098.0,-124.52499999999986,1366.1,1366.1,1366.1,1366.1,1366.1,1366.1,16424292.0,1366.1,241409717.0,39557262.0,4445.0,13204.62,1.2747,5748.7,6739.9,1399.98,20809.71,1964.04,5218.97,7521.32,5189.0
2012-04-27,1381.05,1388.4,1374.15,1382.5,1381.5,429216.0,-129.2349999999999,1374.15,1374.15,1374.15,1374.15,1374.15,1374.15,16481822.0,1374.15,248562597.0,39703479.0,4433.4,13228.31,1.2747,5777.1,6801.32,1403.36,20741.45,1975.35,5169.05,7480.47,5190.6
2012-04-30,1399.0,1399.0,1358.25,1371.85,1374.25,956055.0,-115.18249999999989,1358.25,1358.25,1358.25,1358.25,1358.25,1358.25,16442074.0,1358.25,252039692.0,40389573.0,4467.2,13213.63,1.281,5737.8,6761.19,1397.91,21094.21,1981.99,5202.7,7501.69,5248.15
