Date,Open,High,Low,Close,WAP,Volume,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2010-07-01,1083.6,1083.6,1068.0,1076.15,1075.292979065,525628.0,16700.0,565204098.0,133205.0,25.34,15.6,-7.45
2010-07-02,1078.7,1083.7,1065.1,1068.45,1074.2924798251,528751.0,14417.0,568033223.0,120235.0,22.74,18.6,-10.25
2010-07-05,1064.95,1073.85,1063.4,1067.8,1067.9529649261,277899.0,7674.0,296783061.0,112007.0,40.3,10.45,2.85
2010-07-06,1064.95,1079.75,1064.95,1072.6,1074.3046292405,325993.0,10198.0,350215789.0,80270.0,24.62,14.8,7.65
2010-07-07,1072.5,1075.0,1051.0,1052.95,1059.3095720962,555709.0,18407.0,588667863.0,243903.0,43.89,24.0,-19.55
2010-07-08,1064.7,1070.0,1055.0,1056.5,1062.3740261128,542799.0,14240.0,576655559.0,198134.0,36.5,15.0,-8.2
2010-07-09,1060.0,1066.0,1052.4,1055.85,1058.3723339003,474429.0,14919.0,502122528.0,169419.0,35.71,13.6,-4.15
2010-07-12,1062.0,1068.0,1052.7,1055.75,1059.1096741129,530736.0,14814.0,562107632.0,172809.0,32.56,15.3,-6.25
2010-07-13,1054.95,1077.85,1054.95,1074.75,1069.0235244895,678782.0,20023.0,725633926.0,234055.0,34.48,22.9,19.8
2010-07-14,1080.05,1085.0,1066.1,1069.05,1074.9001926602,470777.0,13851.0,506038288.0,129429.0,27.49,18.9,-11.0
2010-07-15,1070.95,1079.9,1065.0,1072.95,1073.4423332214,387190.0,13096.0,415626137.0,111593.0,28.82,14.9,2.0
2010-07-16,1069.95,1072.2,1060.25,1062.95,1064.6060218151,430435.0,11269.0,458243693.0,155819.0,36.2,11.95,-7.0
2010-07-19,1057.5,1065.75,1054.0,1056.25,1059.4786919965,503332.0,13166.0,533269529.0,217055.0,43.12,11.75,-1.25
2010-07-20,1061.0,1065.85,1050.05,1052.9,1058.765573008,335388.0,9603.0,355097268.0,109810.0,32.74,15.8,-8.1
2010-07-21,1059.0,1063.0,1056.0,1058.25,1058.9569240103,356022.0,9358.0,377011962.0,136425.0,38.32,7.0,-0.75
2010-07-22,1057.0,1060.85,1049.05,1058.9,1054.7638450523,540518.0,15454.0,570118844.0,225367.0,41.69,11.8,1.9
2010-07-23,1070.0,1070.7,1057.0,1060.15,1064.2017434315,611782.0,16026.0,651059471.0,207662.0,33.94,13.7,-9.85
2010-07-26,1061.05,1068.3,1049.5,1052.05,1057.6453882073,430028.0,11363.0,454817131.0,156886.0,36.48,18.8,-9.0
2010-07-27,1057.5,1061.0,1051.25,1053.5,1056.2294892859,549603.0,16318.0,580506896.0,178123.0,32.41,9.75,-4.0
2010-07-28,1065.0,1068.7,1018.45,1020.95,1035.8972784331,2616140.0,72694.0,2710052306.0,1321777.0,50.52,50.25,-44.05
2010-07-29,1023.0,1028.7,1008.1,1010.45,1015.568580244,1326242.0,42698.0,1346889705.0,542640.0,40.92,20.6,-12.55
2010-07-30,1004.95,1020.4,1004.0,1009.6,1013.0817617283,871031.0,27672.0,882425620.0,326890.0,37.53,16.4,4.65
2010-08-02,1020.05,1021.0,1012.0,1014.55,1015.613375269,392665.0,14089.0,398795826.0,130122.0,33.14,9.0,-5.5
2010-08-03,1018.9,1029.5,1012.9,1026.2,1024.8330544897,759685.0,21657.0,778550299.0,215782.0,28.4,16.6,7.3
2010-08-04,1029.7,1029.7,1013.15,1015.9,1018.3690462874,706261.0,19061.0,719234341.0,307318.0,43.51,16.55,-13.8
2010-08-05,1014.7,1028.0,1004.25,1006.95,1014.255182303,739922.0,22217.0,750469723.0,340414.0,46.01,23.75,-7.75
2010-08-06,1011.7,1011.7,999.0,1000.3,1002.6311363714,931984.0,32454.0,934436177.0,387273.0,41.55,12.7,-11.4
2010-08-09,1002.0,1008.7,992.15,993.65,997.45470987159,1014051.0,33531.0,1011469946.0,469461.0,46.3,16.55,-8.35
2010-08-10,1020.0,1020.0,987.0,988.25,993.13855075431,1016032.0,36423.0,1009060548.0,509993.0,50.19,33.0,-31.75
2010-08-11,988.5,994.9,980.1,982.55,986.35765621112,1454858.0,45218.0,1435010327.0,566563.0,38.94,14.8,-5.95
2010-08-12,976.1,979.0,970.0,972.25,973.41440302355,1458416.0,45100.0,1419643140.0,729420.0,50.01,9.0,-3.85
2010-08-13,970.0,993.95,957.1,979.05,983.21014894747,1508787.0,40307.0,1483454691.0,535203.0,35.47,36.85,9.05
2010-08-16,1018.7,1018.7,974.0,976.2,982.26711176347,707861.0,23214.0,695308580.0,268166.0,37.88,44.7,-42.5
2010-08-17,980.0,989.9,970.1,971.1,975.77788148577,708185.0,20353.0,691031259.0,324481.0,45.82,19.8,-8.9
2010-08-18,978.7,978.7,959.0,964.75,965.35738876339,1290852.0,40536.0,1246133516.0,572887.0,44.38,19.7,-13.95
2010-08-19,986.65,986.65,965.0,976.8,978.72877776741,1028544.0,25870.0,1006665612.0,405122.0,39.39,21.65,-9.85
2010-08-20,971.0,993.0,971.0,988.15,985.86750431912,1258358.0,33153.0,1240574261.0,440228.0,34.98,22.0,17.15
2010-08-23,990.0,994.95,975.15,976.4,981.50958866322,826549.0,17321.0,811265769.0,484549.0,58.62,19.8,-13.6
2010-08-24,979.0,980.8,968.05,972.15,973.62853546362,775358.0,18598.0,754910674.0,322952.0,41.65,12.75,-6.85
2010-08-25,970.0,977.0,965.1,968.1,971.29159682503,662809.0,19332.0,643780812.0,255932.0,38.61,11.9,-1.9
2010-08-26,974.7,974.7,955.15,956.7,962.00184003057,1059765.0,30522.0,1019495880.0,538384.0,50.8,19.55,-18.0
2010-08-27,946.55,970.0,946.55,949.75,952.39628483897,1339592.0,42514.0,1275822444.0,451477.0,33.7,23.45,3.2
2010-08-30,961.3,962.0,945.25,947.75,951.33684124623,821001.0,19229.0,781048498.0,390805.0,47.6,16.75,-13.55
2010-08-31,944.9,946.8,915.1,918.85,924.22672328114,2635133.0,74485.0,2435460338.0,1043715.0,39.61,31.7,-26.05
2010-09-01,931.0,942.9,922.5,936.45,930.54843374108,1098222.0,28851.0,1021948762.0,500563.0,45.58,20.4,5.45
2010-09-02,945.0,947.9,935.2,937.15,939.40356377826,732930.0,19549.0,688517054.0,277898.0,37.92,12.7,-7.85
2010-09-03,941.0,941.9,924.3,925.6,928.18198376611,767530.0,22317.0,712407518.0,405111.0,52.78,17.6,-15.4
2010-09-06,915.0,957.45,885.15,953.2,945.17044921759,1386366.0,41741.0,1310352175.0,374474.0,27.01,72.3,38.2
2010-09-07,957.0,969.8,953.1,961.85,963.36631719993,1210511.0,26980.0,1166165524.0,618812.0,51.12,16.7,4.85
2010-09-08,962.0,965.25,953.0,960.05,958.85989307029,579072.0,17554.0,555248916.0,176485.0,30.48,12.25,-1.95
2010-09-09,964.9,967.0,955.1,957.95,960.41421704331,511133.0,14632.0,490899400.0,146813.0,28.72,11.9,-6.95
2010-09-13,965.35,994.8,965.35,992.2,981.68085728437,1162928.0,36536.0,1141624156.0,537205.0,46.19,29.45,26.85
2010-09-14,992.0,1003.0,984.2,987.75,992.19190476409,1088665.0,30865.0,1080164600.0,326140.0,29.96,18.8,-4.25
2010-09-15,990.0,1016.0,985.7,1010.45,1008.216521748,1575366.0,49311.0,1588310029.0,526903.0,33.45,30.3,20.45
2010-09-16,1002.0,1018.0,998.55,1000.9,1007.451491035,680534.0,21652.0,685604993.0,188345.0,27.68,19.45,-1.1
2010-09-17,1006.0,1029.8,1002.25,1026.75,1019.8430240445,1253262.0,38112.0,1278130508.0,516797.0,41.24,27.55,20.75
2010-09-20,1028.7,1042.9,1020.55,1039.7,1035.5229851933,1091333.0,31012.0,1130100406.0,413006.0,37.84,22.35,11.0
2010-09-21,1045.0,1048.0,1025.25,1032.9,1036.2940387792,848031.0,26845.0,878809470.0,267152.0,31.5,22.75,-12.1
2010-09-22,1040.0,1042.4,1015.15,1019.25,1025.3614551127,706392.0,22714.0,724307129.0,222635.0,31.52,27.25,-20.75
2010-09-23,1024.7,1024.7,995.6,997.7,1004.3666586856,897955.0,26313.0,901876063.0,378035.0,42.1,29.1,-27.0
2010-09-24,987.0,1008.7,987.0,1001.65,1002.1115913535,935870.0,23003.0,937846175.0,428087.0,45.74,21.7,14.65
2010-09-27,1008.0,1018.9,1005.0,1009.55,1011.8324289528,615154.0,18166.0,622432766.0,274839.0,44.68,13.9,1.55
2010-09-28,1008.0,1012.8,993.25,998.25,1000.6522601455,678651.0,19175.0,679093657.0,283780.0,41.82,19.55,-9.75
2010-09-29,1002.0,1008.85,995.15,999.05,1002.3476787502,867873.0,16260.0,869910487.0,411878.0,47.46,13.7,-2.95
2010-09-30,1000.0,1000.0,979.25,986.35,986.96742670715,1104064.0,25026.0,1089675205.0,555236.0,50.29,20.75,-13.65
2010-10-01,992.0,1008.75,991.0,1006.45,1001.2394266043,601888.0,18521.0,602633996.0,230215.0,38.25,17.75,14.45
2010-10-04,1014.0,1025.0,1010.3,1017.9,1019.1936839854,720106.0,21634.0,733927487.0,314422.0,43.66,14.7,3.9
2010-10-05,1016.0,1030.9,1009.35,1023.25,1024.927329851,1096186.0,23154.0,1123510990.0,304850.0,27.81,21.55,7.25
2010-10-06,1030.0,1047.0,1026.3,1044.6,1039.3755127362,1250887.0,32034.0,1300141317.0,593128.0,47.42,20.7,14.6
2010-10-07,1047.0,1055.0,1032.1,1038.5,1046.9746843311,1431801.0,32019.0,1499059400.0,419370.0,29.29,22.9,-8.5
2010-10-08,1030.0,1052.5,1030.0,1048.25,1043.8322442652,917298.0,24846.0,957505230.0,329590.0,35.93,22.5,18.25
2010-10-11,1055.0,1070.0,1055.0,1068.95,1065.4681536044,1177857.0,29304.0,1254969123.0,640618.0,54.39,15.0,13.95
2010-10-12,1069.0,1074.4,1046.05,1053.9,1054.4931049913,536330.0,15584.0,565556287.0,158850.0,29.62,28.35,-15.1
2010-10-13,1058.0,1073.15,1055.15,1072.15,1067.5768117857,1013972.0,24631.0,1082492995.0,573459.0,56.56,18.0,14.15
2010-10-14,1075.0,1079.0,1054.1,1058.25,1071.187371543,904972.0,20763.0,969394578.0,224452.0,24.8,24.9,-16.75
2010-10-15,1064.0,1067.5,1036.0,1040.9,1050.8713652346,507942.0,15476.0,533781703.0,176539.0,34.76,31.5,-23.1
2010-10-18,1045.35,1065.0,1034.25,1048.9,1043.5776384545,833234.0,19511.0,869544370.0,434446.0,52.14,30.75,3.55
2010-10-19,1063.3,1068.0,1040.0,1043.85,1057.8132452567,852894.0,18580.0,902202570.0,183171.0,21.48,28.0,-19.45
2010-10-20,1040.0,1063.8,1038.0,1048.7,1051.5232814523,876685.0,18951.0,921854688.0,258384.0,29.47,25.8,8.7
2010-10-21,1053.0,1086.5,1049.15,1079.25,1074.59927138,1534133.0,43609.0,1648578204.0,702279.0,45.78,37.35,26.25
2010-10-22,1083.1,1092.85,1074.25,1081.45,1085.5793338564,882032.0,24817.0,957515711.0,348253.0,39.48,18.6,-1.65
2010-10-25,1085.5,1101.0,1085.5,1090.35,1094.2426732112,822666.0,25650.0,900196243.0,351287.0,42.7,15.5,4.85
2010-10-26,1087.55,1099.7,1087.55,1096.5,1095.2667175777,493672.0,15337.0,540702511.0,161485.0,32.71,12.15,8.95
2010-10-27,1096.5,1110.0,1085.0,1092.65,1100.1589242515,901549.0,26217.0,991847178.0,295518.0,32.78,25.0,-3.85
2010-10-28,1100.0,1102.0,1078.0,1083.05,1091.1452698788,716377.0,15835.0,781671375.0,227026.0,31.69,24.0,-16.95
2010-10-29,1083.0,1107.3,1080.1,1095.8,1095.2134905681,1076352.0,28067.0,1178835231.0,278958.0,25.92,27.2,12.8
2010-11-01,1121.1,1187.0,1088.35,1093.1,1104.1920894034,728921.0,20427.0,804868802.0,267117.0,36.65,98.65,-28.0
2010-11-02,1094.0,1096.0,1071.25,1074.35,1079.4895902458,782103.0,21965.0,844272047.0,264916.0,33.87,24.75,-19.65
2010-11-03,1082.0,1085.0,1062.25,1065.25,1072.8110757438,888139.0,19190.0,952805356.0,365027.0,41.1,22.75,-16.75
2010-11-04,1076.0,1106.8,1075.3,1104.75,1094.4531805032,1058779.0,36242.0,1158784044.0,534528.0,50.49,31.5,28.75
2010-11-05,1115.9,1120.0,1102.2,1106.95,1110.0044612178,526762.0,19422.0,584708170.0,219158.0,41.6,17.8,-8.95
2010-11-08,1110.5,1119.25,1100.0,1112.0,1110.9122059744,678725.0,18717.0,754003887.0,304397.0,44.85,19.25,1.5
